time_s,target,O01,O02,O03,O04,O05,O06,O07,O08,O09,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O20,O21,O22,O23,O24,O25,O26,O27,O28
43,50.80009874085467,44.72440895590525,52.265835274992725,44.23075220949686,60.078575705683875,39.920574598444134,42.65562051699548,55.30150595293665,53.57107487521314,44.35613716863389,32.96787246903563,53.447445178053584,54.81323446968013,37.412713206853105,36.44745142927013,52.077763844724146,46.82479254975641,39.44575988115791,33.078760680124745,19.001705061689584,43.56171846992644,41.59164849601539,35.714021414829716,27.972025001668914,28.782806810428475,49.95294467337219,22.840934392292333,34.718046116565404,46.406288010268746
44,52.47209433907889,43.406651518771696,55.84846519140489,46.646414646321446,58.690493845639494,43.334228152561025,39.40889221712621,59.5558934637795,54.36506663465107,44.017363609531856,37.68591073454762,53.526620078062905,59.35044912421361,38.99342821683519,39.16325474942629,52.9410597917562,56.696173638081646,37.271989831797825,34.84881469773896,22.52516129209254,45.26322723842034,44.549778634048,39.956785933660846,33.90795040517051,36.608646912047675,56.37625572513838,26.340003933303983,39.60080294094384,50.62489406106066
45,53.82138576194416,42.731348579473064,62.58622931008677,47.07692447220351,56.270780699664314,48.43785378456796,37.43213453407784,59.22334733616181,58.285710032357606,46.99836421130976,43.22616205765246,54.886194494403256,59.802943018475474,40.529687742874145,41.96477259049243,55.92995582757381,67.3605173098014,40.186608025995184,35.093133814183794,28.195799488801896,45.15114435909497,48.97730766613387,44.84478660431163,37.07669913659174,46.10228162409736,60.51587627616596,29.35718188899277,39.29217040882446,52.12504182739232
46,54.82257442044848,43.66607080789555,68.96371695799166,47.203865146174294,55.234295308224034,53.666392838898304,38.7996042024388,57.608304810616914,61.75190932718385,53.35319843970716,47.268983056528086,57.94622284329256,56.90903103036055,44.679666293795115,42.220187687108734,60.81566428248722,71.89015764229848,45.96589181036471,36.43336504353199,32.442115926159076,41.12304452221662,53.34765839025695,43.917108418703066,41.024553387243856,47.276371240272184,63.79127531532568,33.286584364256846,39.269186967171365,52.65076489669014
47,55.56354556242535,45.27685972022127,72.56107572213364,49.47233631621482,57.33136422873568,55.982828140463226,44.295791812085554,57.45992845543185,62.250291403036755,57.78600968002941,48.11933718780291,61.790128375313266,53.9030055138179,49.96749984402249,41.90860498476843,64.8104545703122,67.99974794972486,54.54386338395584,41.24820855090135,34.336818202386084,38.19711639824125,55.38783641682292,42.38437403558787,46.49224887904212,40.57920819568135,63.98457937925615,38.90774526722842,42.49614495378483,53.97394900100707
48,56.23168923904866,46.23289658061087,72.51522078639306,52.458863422099114,61.17802758070554,54.846601260165905,50.02893327437706,57.57034652965747,61.06645359255198,56.94734202218343,47.72567129198621,64.80237038829154,53.47786111932669,53.27536180329983,42.752327190885225,65.6760579056449,62.61339939788861,62.470835183161114,43.98147606889082,32.587805354355964,40.714574578525045,55.74619555453866,46.89926378978467,51.31421060906292,36.239326806526805,59.143432301131725,42.29258580574329,44.40933431566482,56.579677653160815
49,57.07715555547774,47.465828653336104,70.22449564190305,52.64814581127469,63.842701026627296,52.157104956242655,51.62105502573503,59.273949299202535,59.79493922736405,55.09893470839248,48.094048879208145,65.27455839550954,57.26021814081828,53.211316400251874,42.755927764281054,63.55537793875874,60.57384711701789,65.64321204861841,41.34621807952509,31.252017253220178,44.47753611942673,55.29380299796975,54.07406705982184,53.24572720283658,42.84713655977589,55.57837304844477,39.2773263865151,43.9911537823877,59.70207243588041
50,58.37684453244785,49.56707119566159,69.59819738269533,50.684399265844874,64.7303882709714,49.29657702526593,50.04708941463052,63.39055896175522,59.40140045490047,56.59320343504392,47.68485202956943,65.14924285867487,63.56021345603372,50.813095197807804,43.02211537606691,60.511331280821196,60.9892122253956,65.8963459911572,39.1550492083064,34.80237498611715,42.483842355142016,53.376923832791704,59.06745425677758,52.22174681489021,54.38790423199357,57.785886325413045,34.208253698183626,43.23773502997108,63.43269140500279
51,60.39413447277749,52.93409789396441,70.72638610437482,50.48987468759191,65.9020872884167,48.250548335703016,49.68523408935687,65.82871016990157,61.026904505842026,59.99398792122662,46.44717417259006,67.2061717482488,68.75925552445926,48.25405490277443,46.96549753007987,59.60245467257801,59.690639678261334,67.64826363204216,42.10540651975887,39.96618468594471,37.497757010218244,52.19825357552704,62.04810012368961,47.70487131274337,61.72115705656479,60.10408626165378,34.07218731087244,44.16055344939194,65.89153363316828
52,63.31324837754153,57.80398097931761,69.76160187862637,53.51001163986943,69.52788619293197,50.635076131210056,52.70462392793479,64.75421597623398,64.50839818379079,61.94885516807982,47.06312726042991,69.41206199296363,72.33118018518132,49.34532651632289,53.198516264548914,61.50289556941647,58.199003330953005,73.57553204319876,47.25098300215423,43.532448618445066,38.20989268622823,53.545580333066326,65.6367491711942,42.562084581875574,62.592962730360455,58.63899933706433,39.976738396521775,49.524555575460624,62.81555814035169
53,67.15274451859115,61.63612204367112,67.55642715973468,59.14694320393901,75.9013372037604,55.129747311939454,56.48759869018483,63.34665675679773,67.15250462247114,60.751464117567664,51.26022565390019,70.11497773396037,75.2527859798253,53.863901793363,59.38470175497682,65.0841307883009,60.10317197435856,78.35019130091936,48.170082585752596,47.72385745787101,44.52968306895815,57.37785258758002,65.27454062281042,40.9669099116819,58.50036166617501,56.452880726912234,49.02449594078992,56.31486287996326,54.08451039899886
54,71.70206899757335,63.7195111217213,68.80840417467347,65.06718081583082,82.61564320345826,60.036379020552914,58.30210240751319,64.2650554306187,67.27451021920596,60.124273777224815,56.66213928908847,71.76865516071261,77.24000136366327,56.77400427461033,65.05579545485999,70.97094149168743,64.69291532617115,76.5844585512578,45.955916958775234,52.53766276972475,50.166502892168616,60.80335095752476,59.56442928877144,42.44913151139003,53.34829492998824,60.24112736360973,55.035215565446066,57.45046752280104,47.77280055107481
55,76.52450690495097,66.60120390064611,73.78141211679797,69.05585624902945,87.20476627406046,64.64342195466352,59.00631474963092,67.44654895402597,67.61119576220025,63.759296735988684,59.86965935625307,74.82905449235452,80.38792289919084,57.1377134234923,69.8107782366544,78.62994833308395,71.11408453383591,73.32097455816995,43.947400475434364,53.255069189564274,53.980687081528515,61.48664385854083,56.30288036438936,46.02847743184407,50.70193358457573,68.02538301345848,55.00581420056391,54.44878792628904,47.539661409873204
56,81.05360788463706,70.16064347442531,79.6854390991281,72.40009299246955,89.36676047991428,67.80082870781938,60.34157185068989,72.26544031593612,71.50328993316585,68.68192598813376,62.82086225440108,78.32772236496137,87.23053825509683,58.26230250805634,74.38545389824175,84.42055933399604,77.8370151215736,75.73447997226232,41.648214996977714,49.518233036658756,54.124868956531635,64.22619946431334,56.736199561218314,50.38156970289618,50.477053463130204,73.15289594247469,53.146416559493076,51.16800759116818,50.98535941177989
57,84.74498663103229,73.22539677579394,86.40602875110326,76.6947391367426,91.28512017409939,70.22032206024159,62.09715839200976,79.76919678808903,79.2028181942164,74.01636411575413,69.02580618203925,83.49852020954816,95.8726882402552,62.060590391741016,77.5382589715089,87.9357250683974,83.79001657405124,83.73782269603291,40.96809321243515,48.50426320012754,51.31964047535014,68.56806970764951,58.252401380513504,53.81042037731093,50.5567568466832,76.79737927389978,52.86402032502839,48.726143687168964,59.26730065289293
58,87.22495001174691,77.70016629335014,93.68389893296154,79.41100194262194,95.05630375338872,75.03908906455038,66.04634857638158,88.56544068755571,87.07391480018288,80.52824384808085,76.12482588030599,90.06292252922705,100.0,68.50028194466475,77.4771351254764,91.2111396968202,89.0178667560611,91.42805578154264,45.574888236904975,52.660080253415586,52.600433897214,69.2231107310709,61.49336312575194,57.75387424223494,54.79248382607952,78.76602276028949,53.6883561598378,47.57324136762653,70.24261980012469
59,88.38112625834162,83.3677285837296,98.72225490540218,80.6877685335194,99.56599084787062,81.06403910013148,74.67914705827948,94.65735788331502,91.3452861429773,85.5381634237516,78.47027958059932,94.94135071801769,99.49266190612906,74.37643662289321,76.47505865088453,93.34029544491136,93.03738931555972,97.285671931628,56.66086315837627,55.02885014753967,59.14206435633321,69.52193950819165,65.54150327007886,65.783825984859,67.36348376647499,78.91385861104501,58.720983401141716,49.9552744245302,76.89958948910211
60,88.38150262367594,86.5173272064898,99.53942350843556,83.58948996784912,100.0,83.44415562458795,81.34806831064554,98.12820918725083,92.18847719124642,88.98710970302322,76.98872162655526,97.15049796058514,99.95023299333268,76.79185933850681,75.84867485706769,92.64975724399889,96.20320741166105,100.0,68.18516710622663,53.56948179802714,66.38892724895831,75.53099298849908,70.1139227815291,74.56866464891795,80.90975860916838,79.09749112826094,69.3871643684623,57.846614818110396,79.22034572379023
61,87.63718599083619,85.76902734830281,98.66251205057685,85.37777721058018,100.0,82.27475154406352,81.44549804554876,100.0,92.08678497993795,92.84505463367972,76.56098477192896,97.58400810154481,100.0,76.9987233219239,74.62168091284008,90.59038717654077,96.87621930290365,100.0,73.69731100576078,54.276855794209496,69.62137320836176,86.82286245710078,75.58378494038901,77.59447808380978,86.07506129386772,80.1454571162904,78.99050402942888,67.54497996281356,82.501155602448
62,86.72000387812231,82.47094460100041,99.55662671907113,83.61469836273139,100.0,81.08632038765924,80.57491248609654,99.88052354644842,92.24930966297603,94.4958761863815,77.62100527892997,98.97024829850074,100.0,77.84047185160807,73.35190303586569,90.25972209995874,96.98033091736598,100.0,75.62825012701735,58.42540199629279,70.72592750655991,96.80663796755007,80.13990896246611,76.43354453716802,84.10132395734877,82.34318983612503,82.99430496679781,72.55106681341559,88.50010858819762
63,86.24089417242064,80.41899289043826,99.43843524085221,81.65577938771591,100.0,81.21666333590662,81.51898509501771,98.03094775501225,92.48102911387377,92.04338819907528,78.27028404706823,100.0,100.0,81.01400564958702,72.63941711833385,91.13585944340709,98.99478557494348,100.0,77.1859170197047,62.519780072274244,75.34571077593587,100.0,81.77023142437369,77.72488750409315,79.6841458088365,85.38854866728067,84.73798372351034,71.61904839638194,91.61969628639629
64,86.69274207342971,82.39992314940577,96.67238154933088,81.0260190370621,100.0,83.05886456113339,83.18379945121404,96.6480115997361,92.00409659828304,88.84191052563064,78.90612877376611,100.0,100.0,83.57897326041808,71.96531722598941,90.09018030031555,100.0,100.0,77.89340914969239,64.54341608097512,79.29112348831356,100.0,81.27550901967972,80.97294969450232,77.21500266505288,90.45835595965356,87.10962227656192,71.80569171282178,87.79134425234014
65,88.29523140274672,85.41577216355427,95.18354831263403,80.54142539901525,100.0,86.71050162754452,84.85577105550499,96.33848795259414,91.08573654087027,88.58470452991381,80.19324963841517,100.0,100.0,81.62836188342581,71.15043311428244,86.39646725853112,100.0,100.0,77.69121794394161,62.33194533578462,78.41395848614326,98.773011231021,81.68467095213339,79.37702672167869,76.25720017741831,94.25038440210514,88.15007463775225,76.96211583790034,85.38795804993529
